flattened_destination,inbound_rules,example_sources,target
/account-hub/docs/introducing-consumer-protection-preference-levels,3,/docs/introducing-consumer-protection-preference-levels | /using-branch/docs/introducing-consumer-protection-preference-levels | /v1/docs/introducing-consumer-protection-preference-levels,
/account-hub/docs/introducing-branch-activation,3,/docs/introducing-branch-activation | /using-branch/docs/introducing-branch-activation | /v1/docs/introducing-branch-activation,
/account-hub/docs/introducing-advanced-compliance,3,/docs/introducing-advanced-compliance | /using-branch/docs/introducing-advanced-compliance | /v1/docs/introducing-advanced-compliance,
/account-hub/docs/increased-attribution-coverage-for-tiktok-for-business,3,/docs/increased-attribution-coverage-for-tiktok-for-business | /using-branch/docs/increased-attribution-coverage-for-tiktok-for-business | /v1/docs/increased-attribution-coverage-for-tiktok-for-business,
/account-hub/docs/improved-sso-enablement,3,/docs/improved-sso-enablement | /using-branch/docs/improved-sso-enablement | /v1/docs/improved-sso-enablement,
/account-hub/docs/scheduled-log-exports-gcp-storage-expansion,3,/docs/scheduled-log-exports-gcp-storage-expansion | /using-branch/docs/scheduled-log-exports-gcp-storage-expansion | /v1/docs/scheduled-log-exports-gcp-storage-expansion,
/account-hub/docs/improved-single-sign-on-sso-experience,3,/docs/improved-single-sign-on-sso-experience | /using-branch/docs/improved-single-sign-on-sso-experience | /v1/docs/improved-single-sign-on-sso-experience,
/account-hub/docs/improved-san-management-ui,3,/docs/improved-san-management-ui | /using-branch/docs/improved-san-management-ui | /v1/docs/improved-san-management-ui,
/account-hub/docs/improved-facebookmeta-aem-campaign-reporting,3,/docs/improved-facebookmeta-aem-campaign-reporting | /using-branch/docs/improved-facebookmeta-aem-campaign-reporting | /v1/docs/improved-facebookmeta-aem-campaign-reporting,
/account-hub/docs/improved-deep-linking-without-attribution,3,/docs/improved-deep-linking-without-attribution | /using-branch/docs/improved-deep-linking-without-attribution | /v1/docs/improved-deep-linking-without-attribution,
/account-hub/docs/historical-quick-link-access-for-self-serve-customers,3,/docs/historical-quick-link-access-for-self-serve-customers | /using-branch/docs/historical-quick-link-access-for-self-serve-customers | /v1/docs/historical-quick-link-access-for-self-serve-customers,
/account-hub/docs/help-center-redesign,3,/docs/help-center-redesign | /using-branch/docs/help-center-redesign | /v1/docs/help-center-redesign,
/account-hub/docs/google-dma-compliance,3,/docs/google-dma-compliance | /using-branch/docs/google-dma-compliance | /v1/docs/google-dma-compliance,
/account-hub/docs/fixed-tag-filtering,3,/docs/fixed-tag-filtering | /using-branch/docs/fixed-tag-filtering | /v1/docs/fixed-tag-filtering,
/account-hub/docs/enhanced-web-sdk-documentation,3,/docs/enhanced-web-sdk-documentation | /using-branch/docs/enhanced-web-sdk-documentation | /v1/docs/enhanced-web-sdk-documentation,
/account-hub/docs/universal-email-lightweight-filters,3,/docs/universal-email-lightweight-filters | /using-branch/docs/universal-email-lightweight-filters | /v1/docs/universal-email-lightweight-filters,
/account-hub/docs/enhanced-linkhub-functions,3,/docs/enhanced-linkhub-functions | /using-branch/docs/enhanced-linkhub-functions | /v1/docs/enhanced-linkhub-functions,
/account-hub/docs/enhanced-ios-android-sdk-documentation,3,/docs/enhanced-ios-android-sdk-documentation | /using-branch/docs/enhanced-ios-android-sdk-documentation | /v1/docs/enhanced-ios-android-sdk-documentation,
/account-hub/docs/enhanced-dashboard-ui,3,/docs/enhanced-dashboard-ui | /using-branch/docs/enhanced-dashboard-ui | /v1/docs/enhanced-dashboard-ui,
/account-hub/docs/update-in-cohort-analytics,3,/docs/update-in-cohort-analytics | /using-branch/docs/update-in-cohort-analytics | /v1/docs/update-in-cohort-analytics,
/account-hub/docs/enhanced-ad-engagement-type-metrics,3,/docs/enhanced-ad-engagement-type-metrics | /using-branch/docs/enhanced-ad-engagement-type-metrics | /v1/docs/enhanced-ad-engagement-type-metrics,
/account-hub/docs/email-enhancements,3,/docs/email-enhancements | /using-branch/docs/email-enhancements | /v1/docs/email-enhancements,
/account-hub/docs/early-access-for-journeys-desktop-banners,3,/docs/early-access-for-journeys-desktop-banners | /using-branch/docs/early-access-for-journeys-desktop-banners | /v1/docs/early-access-for-journeys-desktop-banners,
/account-hub/docs/update-to-reporting-on-costspend-data,3,/docs/update-to-reporting-on-costspend-data | /using-branch/docs/update-to-reporting-on-costspend-data | /v1/docs/update-to-reporting-on-costspend-data,
/account-hub/docs/direct-twitter-integration-now-available-in-roi-hub,3,/docs/direct-twitter-integration-now-available-in-roi-hub | /using-branch/docs/direct-twitter-integration-now-available-in-roi-hub | /v1/docs/direct-twitter-integration-now-available-in-roi-hub,
/account-hub/docs/custom-qr-code-download-improvements,3,/docs/custom-qr-code-download-improvements | /using-branch/docs/custom-qr-code-download-improvements | /v1/docs/custom-qr-code-download-improvements,
/account-hub/docs/country-level-reporting,3,/docs/country-level-reporting | /using-branch/docs/country-level-reporting | /v1/docs/country-level-reporting,
/account-hub/docs/changelog-household-measurement,3,/docs/changelog-household-measurement | /using-branch/docs/changelog-household-measurement | /v1/docs/changelog-household-measurement,
/account-hub/docs/audio-media-support-on-links,3,/docs/audio-media-support-on-links | /using-branch/docs/audio-media-support-on-links | /v1/docs/audio-media-support-on-links,
/account-hub/docs/app-version-filters-in-engagement-builder,3,/docs/app-version-filters-in-engagement-builder | /using-branch/docs/app-version-filters-in-engagement-builder | /v1/docs/app-version-filters-in-engagement-builder,
/account-hub/docs/all-cost-data-moving-to-roi-hub,3,/docs/all-cost-data-moving-to-roi-hub | /using-branch/docs/all-cost-data-moving-to-roi-hub | /v1/docs/all-cost-data-moving-to-roi-hub,
/account-hub/docs/upgraded-linking-experience,3,/docs/upgraded-linking-experience | /using-branch/docs/upgraded-linking-experience | /v1/docs/upgraded-linking-experience,
/account-hub/docs/additional-ip-addresses-for-webhooks,3,/docs/additional-ip-addresses-for-webhooks | /using-branch/docs/additional-ip-addresses-for-webhooks | /v1/docs/additional-ip-addresses-for-webhooks,
/account-hub/docs/welcoming-roi-hub-to-ga,3,/docs/welcoming-roi-hub-to-ga | /using-branch/docs/welcoming-roi-hub-to-ga | /v1/docs/welcoming-roi-hub-to-ga,
/account-hub/docs/ios-17-privacy-changes,3,/docs/ios-17-privacy-changes | /using-branch/docs/ios-17-privacy-changes | /v1/docs/ios-17-privacy-changes,
/account-hub/docs/branch-google-icm-for-enhanced-mobile-measurement,3,/docs/branch-google-icm-for-enhanced-mobile-measurement | /using-branch/docs/branch-google-icm-for-enhanced-mobile-measurement | /v1/docs/branch-google-icm-for-enhanced-mobile-measurement,
/marketer-hub/docs/supported-ad-partners,3,/marketer-hub/docs/supported-ad-partners  [LIVE: in sitemap] | /partners-portal | /using-branch/docs/ad-partners-list,
/marketer-hub/docs/create-branch-links-index,3,/docs/branch-links | /marketer-hub/docs/links-overview | /using-branch/docs/create-quick-links,
