source,flattened_destination,reason
/docs/app-version-filters-in-engagement-builder,/account-hub/docs/app-version-filters-in-engagement-builder,destination slug not found in new site
/docs/apple-ads-and-ad-attribution-kit,/account-hub/docs/apple-ads-and-ad-attribution-kit,destination slug not found in new site
/docs/apple-ads-skan-support,/account-hub/docs/apple-ads-skan-support,destination slug not found in new site
/docs/april-1,/docs/april-2025,destination slug not found in new site
/docs/audio-media-support-on-links,/account-hub/docs/audio-media-support-on-links,destination slug not found in new site
/docs/branch-analysis,/marketer-hub/docs/analysis-dashboards-new,destination slug not found in new site
/docs/branch-defend,/marketer-hub/docs/branch-defend,destination slug not found in new site
/docs/branch-google-icm-for-enhanced-mobile-measurement,/account-hub/docs/branch-google-icm-for-enhanced-mobile-measurement,destination slug not found in new site
/docs/branch-ios-14-product-details-general-faq,/marketer-hub/docs/branch-ios-14-product-details-general-faq,destination slug not found in new site
/docs/branch-links,/marketer-hub/docs/create-branch-links-index,destination slug not found in new site
/docs/changelog-household-measurement,/account-hub/docs/changelog-household-measurement,destination slug not found in new site
/docs/complying-with-apples-policy-faq,/marketer-hub/docs/complying-with-apples-policy-faq,destination slug not found in new site
/docs/configure-default-link-behaviors-index,/docs/configure-link-behaviors-index,destination slug not found in new site
/docs/cost-data-integration-for-non-sans-beta,/account-hub/docs/cost-data-for-non-sans-beta,destination slug not found in new site
/docs/country-level-reporting,/account-hub/docs/country-level-reporting,destination slug not found in new site
/docs/create-branch-links,/marketer-hub/docs/branch-links,destination slug not found in new site
/docs/create-branch-links-1,/docs/create-branch-links-index,destination slug not found in new site
/docs/creating-links-with-ivy,/marketer-hub/docs/creating-links-with-ivy,destination slug not found in new site
/docs/cross-events-export-api,/account-hub/docs/cross-events-exports-api,destination slug not found in new site
/docs/cross-events-exports-api,/docs/introducing-cross-events-exports-api,destination slug not found in new site
/docs/currency-support-for-analysis-dashboards,/account-hub/docs/currency-support-for-analysis-dashboards,destination slug not found in new site
/docs/custom-qr-code-download-improvements,/account-hub/docs/custom-qr-code-download-improvements,destination slug not found in new site
/docs/data-feeds,/marketer-hub/docs/advanced-data-feeds,destination slug not found in new site
/docs/data-privacy-1,/docs/data-privacy,destination slug not found in new site
/docs/deep-links,/docs/deep-links-index,destination slug not found in new site
/docs/default-journeys-templates-now-wcag-compliant,/account-hub/docs/commitment-to-accessibility,destination slug not found in new site
/docs/direct-twitter-integration-now-available-in-roi-hub,/account-hub/docs/direct-twitter-integration-now-available-in-roi-hub,destination slug not found in new site
/docs/early-access-for-journeys-desktop-banners,/account-hub/docs/early-access-for-journeys-desktop-banners,destination slug not found in new site
/docs/email-enhancements,/account-hub/docs/email-enhancements,destination slug not found in new site
/docs/email-integration-guide,/marketer-hub/docs/email-integration-guide,destination slug not found in new site
/docs/en/branch-methodology-overview,/marketer-hub/docs/attribution-methods,destination slug not found in new site
/docs/enable-skadnetwork-via-native-framework,/docs/enable-skadnetwork-natively,destination slug not found in new site
/docs/enhanced-ad-engagement-type-metrics,/account-hub/docs/enhanced-ad-engagement-type-metrics,destination slug not found in new site
/docs/enhanced-dashboard-ui,/account-hub/docs/enhanced-dashboard-ui,destination slug not found in new site
/docs/enhanced-ios-android-sdk-documentation,/account-hub/docs/enhanced-ios-android-sdk-documentation,destination slug not found in new site
/docs/enhanced-linkhub-functions,/account-hub/docs/enhanced-linkhub-functions,destination slug not found in new site
/docs/enhanced-web-sdk-documentation,/account-hub/docs/enhanced-web-sdk-documentation,destination slug not found in new site
/docs/eu-hosted-data,/account-hub/docs/eu-hosted-data-for-new-enterprise-customers,destination slug not found in new site
/docs/facebook-faq-and-advanced-options,/marketer-hub/docs/facebook-faq-and-advanced-options,destination slug not found in new site
/docs/find-created-links,/marketer-hub/docs/find-created-links,destination slug not found in new site
/docs/fixed-apple-search-ads-cost-display,/docs/fixed-apple-search-ads-cost-display-1,destination slug not found in new site
/docs/fixed-tag-filtering,/account-hub/docs/fixed-tag-filtering,destination slug not found in new site
/docs/flashtalking-1,/marketer-hub/docs/flashtalking-1,destination slug not found in new site
/docs/getting-started,/account-hub/docs/get-started-account-hub,destination slug not found in new site
/docs/google-dma-compliance,/account-hub/docs/google-dma-compliance,destination slug not found in new site
/docs/help-center-redesign,/account-hub/docs/help-center-redesign,destination slug not found in new site
/docs/historical-quick-link-access-for-self-serve-customers,/account-hub/docs/historical-quick-link-access-for-self-serve-customers,destination slug not found in new site
/docs/improved-deep-linking-without-attribution,/account-hub/docs/improved-deep-linking-without-attribution,destination slug not found in new site
/docs/improved-facebookmeta-aem-campaign-reporting,/account-hub/docs/improved-facebookmeta-aem-campaign-reporting,destination slug not found in new site
/docs/improved-san-management-ui,/account-hub/docs/improved-san-management-ui,destination slug not found in new site
/docs/improved-self-service-invoice-processing,/account-hub/docs/improved-self-service-invoicing-processing,destination slug not found in new site
/docs/improved-single-sign-on-sso-experience,/account-hub/docs/improved-single-sign-on-sso-experience,destination slug not found in new site
/docs/improved-sso-enablement,/account-hub/docs/improved-sso-enablement,destination slug not found in new site
/docs/increased-attribution-coverage-for-tiktok-for-business,/account-hub/docs/increased-attribution-coverage-for-tiktok-for-business,destination slug not found in new site
/docs/introducing-advanced-compliance,/account-hub/docs/introducing-advanced-compliance,destination slug not found in new site
/docs/introducing-branch-activation,/account-hub/docs/introducing-branch-activation,destination slug not found in new site
/docs/introducing-consumer-protection-preference-levels,/account-hub/docs/introducing-consumer-protection-preference-levels,destination slug not found in new site
/docs/introducing-predictive-aggregate-measurement-pam,/account-hub/docs/introducing-predictive-aggregate-measurement-pam,destination slug not found in new site
/docs/introducing-roi-hub-beta,/account-hub/docs/introducing-roi-hub-beta,destination slug not found in new site
/docs/introducing-scheduled-dashboard-email-reports,/account-hub/docs/introducing-scheduled-dashboard-email-reports,destination slug not found in new site
/docs/introducing-skan-magic-set-up,/account-hub/docs/introducing-skan-magic-set-up,destination slug not found in new site
/docs/introduction-of-custom-partner-limits,/account-hub/docs/introduction-of-custom-partner-limits,destination slug not found in new site
/docs/investigating-branch-deepviews-optimization,/account-hub/docs/investigating-branch-deepviews-optimizations,destination slug not found in new site
/docs/ios-14-faqs-1,/docs/ios-14-faqs,destination slug not found in new site
/docs/ios-17-privacy-changes,/account-hub/docs/ios-17-privacy-changes,destination slug not found in new site
/docs/january,/docs/january-2025,destination slug not found in new site
/docs/journeys-html-editor-content-overhaul,/account-hub/docs/journeys-html-editor-creatives-optimization-content-overhaul,destination slug not found in new site
/docs/journeys-templates-wcag-compliant,/account-hub/docs/commitment-to-accessibility,destination slug not found in new site
/docs/june-2,/docs/june-2025,destination slug not found in new site
/docs/kpi-alerts-for-analysis-dashboards,/account-hub/docs/kpi-alerts-for-analysis-dashboards,destination slug not found in new site
/docs/link-folders,/account-hub/docs/link-folders,destination slug not found in new site
/docs/local-currency-support-for-unified-analytics,/account-hub/docs/local-currency-support-for-unified-analytics,destination slug not found in new site
/docs/manage-links,/marketer-hub/docs/manage-links-index,destination slug not found in new site
/docs/march-1,/docs/march-2025,destination slug not found in new site
/docs/marketer-deep-link-reference,/marketer-hub/docs/marketer-deep-link-reference,destination slug not found in new site
/docs/may-1,/docs/may-2025,destination slug not found in new site
/docs/meta-aem-acquisition-attribution-coverage,/account-hub/docs/meta-aem-acquisition-attribution-coverage,destination slug not found in new site
/docs/meta-aem-view-through-attribution-in-branch,/account-hub/docs/meta-aem-view-through-attribution-in-branch,destination slug not found in new site
/docs/metafacebook-mai-support,/account-hub/docs/facebook-mai-support,destination slug not found in new site
/docs/movable-ink-in-app-messages,/marketer-hub/docs/movable-ink-in-app-messages,destination slug not found in new site
/docs/multi-touch-attribution,/marketer-hub/docs/funnel-attribution,destination slug not found in new site
/docs/new-cost-data-via-api-partners,/account-hub/docs/new-cost-data-via-api-partners,destination slug not found in new site
/docs/new-cost-data-via-api-partners-1,/account-hub/docs/new-cost-data-via-api-partners,destination slug not found in new site
/docs/new-enterprise-account-invoices,/account-hub/docs/new-enterprise-account-invoices,destination slug not found in new site
/docs/new-google-tag-manager-documentation-available-for-web-ios-and-android-sdks,/account-hub/docs/new-google-tag-manager-documentation-available-for-web-ios-and-android-sdks,destination slug not found in new site
/docs/new-linkhub-bulk-actions,/account-hub/docs/new-linkhub-bulk-actions,destination slug not found in new site
/docs/new-metafacebook-content-provider-install-referrer-support,/account-hub/docs/new-metafacebook-content-provider-install-referrer-support,destination slug not found in new site
/docs/new-navigation-structure,/account-hub/docs/new-navigation-structure,destination slug not found in new site
/docs/new-qr-codes-in-branch,/account-hub/docs/new-qr-codes-in-branch,destination slug not found in new site
/docs/new-roi-hub-file-templates-for-importing-cost-data,/account-hub/docs/new-roi-hub-file-templates-for-importing-cost-data,destination slug not found in new site
/docs/new-tool-for-link-validation,/account-hub/docs/new-tool-for-link-validation,destination slug not found in new site
/docs/october-1,/docs/october-2025,destination slug not found in new site
/docs/organic-categorization-for-page-view-fixed,/account-hub/docs/organic-categorization-for-page-view-fixed,destination slug not found in new site
/docs/organic-search-url-reporting-on-dashboard,/account-hub/docs/organic-search-url-reporting-on-dashboard,destination slug not found in new site
