Article title,Category title,Article status,Date,portal URLs,site URLs
Read Existing Deep Link,Deep Linking API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/74153129-dc55-4d0a-9add-215a10cba07f/en,https://help.branch.io/v1-api/docs/en/readexistingdeeplink,
Delete Existing Deep Link,Deep Linking API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/17ce8b64-ead7-4875-9f29-27fd3b1770e5/en,https://help.branch.io/v1-api/docs/en/deleteexistingdeeplink,
Create a Deep Link URL,Deep Linking API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/33feb9dd-3555-40dc-b849-1210af1facfc/en,https://help.branch.io/v1-api/docs/en/createdeeplinkurl,
Create Bulk Deep Link URL,Quick Links API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/315e3072-20de-46e0-bb7b-6d0b120f04d5/en,https://help.branch.io/v1-api/docs/en/createbulkquicklinkurl,
Update Existing Deep Link,Quick Links API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/ea0f05e2-f9e2-470a-a233-4c82cfa6015b/en,https://help.branch.io/v1-api/docs/en/updateexistingquicklink,
Create a Deep Link URL,Quick Links API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/d945f59a-3291-4020-bb0b-0567e70dc792/en,https://help.branch.io/v1-api/docs/en/createquicklinkurl,
Export Download Status,Aggregate API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/236f2c6d-bc1f-4cc3-9c73-639b818a999a/en,https://help.branch.io/v1-api/docs/en/getexportdownloadstatus,
Request Aggregate Export,Aggregate API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/482f5fbf-3954-4be0-8570-a43c598b98af/en,https://help.branch.io/v1-api/docs/en/requestaggregateexport,
Custom Exports API Overview,Custom Exports API,published,18 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/cba7620f-248c-48c1-99e9-d73d99cb810e/en,https://help.branch.io/v1-api/docs/en/custom-exports-api,
Introduction,Events API,draft,01 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/8e503ba9-f7e8-470a-9cc3-5aff6796b2a8/en,,
